index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
235,10,4,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.632
236,10,5,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.676
237,10,6,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.645
238,10,7,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.686
239,10,8,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.665
240,10,9,0.1,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.684
241,10,10,0.814,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.811
242,0,0,0.836,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.8355
243,0,1,0.769,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.7933
244,0,2,0.6388,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.753
245,0,3,0.4978,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.7291
246,0,4,0.3339,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.7162
247,0,5,0.3909,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.7177
248,0,6,0.389,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.7101
249,0,7,0.4315,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.7021
250,0,8,0.3739,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.6905
251,0,9,0.2966,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.6861
252,0,10,0.1945,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.6827
253,1,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.676
254,1,1,0.833,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.824
255,1,2,0.759,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.795
256,1,3,0.674,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.785
257,1,4,0.534,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.791
258,1,5,0.442,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.785
259,1,6,0.459,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.773
260,1,7,0.533,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.79
261,1,8,0.528,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.775
262,1,9,0.481,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.783
263,1,10,0.403,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.779
264,2,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.562
265,2,1,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.615
266,2,2,0.796,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.792
267,2,3,0.607,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.744
268,2,4,0.501,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.73
269,2,5,0.539,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.731
270,2,6,0.495,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.716
271,2,7,0.501,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.667
272,2,8,0.483,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.681
273,2,9,0.421,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.683
274,2,10,0.413,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.673
275,3,0,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.691
276,3,1,0.1,gem,1693769423.4438841,gem,True,-1.0,1000,512,0.719
