index,task,phase,cl_result,run,tstamp,algorithm,manager,si_lambda,si_eps,dense_size,ridge_result
260,1,7,0.499,si,1693682361.0109622,si,True,0.01,1e-08,128,0.694
261,1,8,0.46,si,1693682361.0109622,si,True,0.01,1e-08,128,0.697
262,1,9,0.442,si,1693682361.0109622,si,True,0.01,1e-08,128,0.688
263,1,10,0.391,si,1693682361.0109622,si,True,0.01,1e-08,128,0.675
264,2,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.438
265,2,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.54
266,2,2,0.804,si,1693682361.0109622,si,True,0.01,1e-08,128,0.813
267,2,3,0.578,si,1693682361.0109622,si,True,0.01,1e-08,128,0.666
268,2,4,0.519,si,1693682361.0109622,si,True,0.01,1e-08,128,0.594
269,2,5,0.451,si,1693682361.0109622,si,True,0.01,1e-08,128,0.606
270,2,6,0.432,si,1693682361.0109622,si,True,0.01,1e-08,128,0.646
271,2,7,0.38,si,1693682361.0109622,si,True,0.01,1e-08,128,0.611
272,2,8,0.371,si,1693682361.0109622,si,True,0.01,1e-08,128,0.597
273,2,9,0.378,si,1693682361.0109622,si,True,0.01,1e-08,128,0.578
274,2,10,0.333,si,1693682361.0109622,si,True,0.01,1e-08,128,0.615
275,3,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.556
276,3,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.599
277,3,2,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.586
278,3,3,0.823,si,1693682361.0109622,si,True,0.01,1e-08,128,0.814
279,3,4,0.67,si,1693682361.0109622,si,True,0.01,1e-08,128,0.722
280,3,5,0.559,si,1693682361.0109622,si,True,0.01,1e-08,128,0.695
281,3,6,0.481,si,1693682361.0109622,si,True,0.01,1e-08,128,0.679
282,3,7,0.445,si,1693682361.0109622,si,True,0.01,1e-08,128,0.649
283,3,8,0.435,si,1693682361.0109622,si,True,0.01,1e-08,128,0.646
284,3,9,0.4,si,1693682361.0109622,si,True,0.01,1e-08,128,0.658
285,3,10,0.348,si,1693682361.0109622,si,True,0.01,1e-08,128,0.648
286,4,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.57
287,4,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.645
288,4,2,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.648
289,4,3,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.655
290,4,4,0.845,si,1693682361.0109622,si,True,0.01,1e-08,128,0.837
291,4,5,0.62,si,1693682361.0109622,si,True,0.01,1e-08,128,0.771
292,4,6,0.498,si,1693682361.0109622,si,True,0.01,1e-08,128,0.719
293,4,7,0.393,si,1693682361.0109622,si,True,0.01,1e-08,128,0.71
294,4,8,0.408,si,1693682361.0109622,si,True,0.01,1e-08,128,0.702
295,4,9,0.378,si,1693682361.0109622,si,True,0.01,1e-08,128,0.702
296,4,10,0.386,si,1693682361.0109622,si,True,0.01,1e-08,128,0.678
297,5,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.562
298,5,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.656
299,5,2,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.638
300,5,3,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.643
301,5,4,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.65
302,5,5,0.81,si,1693682361.0109622,si,True,0.01,1e-08,128,0.813
303,5,6,0.676,si,1693682361.0109622,si,True,0.01,1e-08,128,0.774
304,5,7,0.393,si,1693682361.0109622,si,True,0.01,1e-08,128,0.743
305,5,8,0.396,si,1693682361.0109622,si,True,0.01,1e-08,128,0.722
306,5,9,0.32,si,1693682361.0109622,si,True,0.01,1e-08,128,0.682
307,5,10,0.243,si,1693682361.0109622,si,True,0.01,1e-08,128,0.697
308,6,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.556
309,6,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.614
310,6,2,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.624
311,6,3,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.609
312,6,4,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.642
313,6,5,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.687
314,6,6,0.862,si,1693682361.0109622,si,True,0.01,1e-08,128,0.865
315,6,7,0.67,si,1693682361.0109622,si,True,0.01,1e-08,128,0.755
316,6,8,0.626,si,1693682361.0109622,si,True,0.01,1e-08,128,0.744
317,6,9,0.467,si,1693682361.0109622,si,True,0.01,1e-08,128,0.712
318,6,10,0.418,si,1693682361.0109622,si,True,0.01,1e-08,128,0.709
319,7,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.539
320,7,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.535
321,7,2,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.557
322,7,3,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.581
323,7,4,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.592
324,7,5,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.589
325,7,6,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.597
326,7,7,0.779,si,1693682361.0109622,si,True,0.01,1e-08,128,0.779
327,7,8,0.629,si,1693682361.0109622,si,True,0.01,1e-08,128,0.696
328,7,9,0.519,si,1693682361.0109622,si,True,0.01,1e-08,128,0.666
329,7,10,0.495,si,1693682361.0109622,si,True,0.01,1e-08,128,0.645
330,8,0,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.52
331,8,1,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.553
332,8,2,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.588
333,8,3,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.64
334,8,4,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.598
335,8,5,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.652
336,8,6,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.641
337,8,7,0.1,si,1693682361.0109622,si,True,0.01,1e-08,128,0.641
